income,employment_length,debt_ratio,credit_score,loan_purpose,default_risk
57450,9,0.58,704,home,0
47926,23,0.39,679,personal,0
59715,16,0.66,707,education,0
72845,20,0.69,695,personal,0
46487,1,0.66,663,education,1
46487,5,0.85,705,personal,1
73688,24,0.29,618,personal,0
61511,4,0.25,690,car,0
42957,3,0.59,611,education,0
58138,29,0.58,693,personal,0
43048,1,0.51,636,personal,1
43014,11,0.1,684,education,0
53629,2,0.54,629,car,0
21300,5,0.85,631,education,1
24126,23,0.37,634,car,0
41565,13,0.87,556,car,1
34807,7,0.39,710,business,0
54713,20,0.21,653,car,0
36379,20,0.42,559,business,0
28815,25,0.5,611,home,0
71984,13,0.6,608,car,1
46613,28,0.5,677,education,0
51012,2,0.53,635,business,0
28628,15,0.12,713,home,0
41834,14,0.3,566,home,0
51663,6,0.35,680,car,0
32735,14,0.89,674,education,1
55635,12,0.34,620,car,0
40990,5,0.82,667,personal,1
45624,14,0.34,647,home,0
40974,16,0.18,734,personal,0
77784,3,0.3,655,personal,0
49797,21,0.32,729,business,0
34134,26,0.88,708,personal,1
62338,21,0.64,562,home,1
31687,26,0.85,644,home,1
53132,13,0.77,708,education,0
20604,14,0.56,667,car,0
30077,27,0.64,655,education,0
52952,11,0.6,660,education,0
61076,18,0.63,692,car,0
52570,21,0.31,622,home,0
48265,27,0.43,629,business,0
45483,9,0.57,708,personal,0
27822,5,0.13,664,business,0
39202,27,0.49,637,personal,0
43090,24,0.79,652,car,1
65856,8,0.49,685,car,0
55154,1,0.54,648,education,1
23554,3,0.26,661,car,0
54861,8,0.74,529,personal,1
44223,14,0.39,667,business,0
39846,29,0.87,640,business,1
59175,12,0.89,714,business,1
65464,19,0.83,646,business,1
63969,7,0.17,753,education,0
37411,25,0.37,692,business,0
45361,27,0.86,597,personal,1
54968,18,0.74,563,education,1
64633,18,0.83,644,education,1
42812,24,0.56,651,education,0
47215,15,0.48,531,car,1
33404,10,0.19,646,education,0
32056,9,0.77,626,personal,1
62187,7,0.7,664,business,0
70343,0,0.15,791,car,0
48919,9,0.27,533,business,0
65052,29,0.55,716,home,0
55424,17,0.65,683,car,0
40323,2,0.21,615,personal,0
55420,29,0.3,651,car,0
73070,10,0.25,713,education,0
49462,17,0.28,657,car,0
73469,2,0.84,514,education,1
10703,7,0.67,675,business,0
62328,26,0.69,700,car,0
51305,26,0.74,621,car,1
45514,27,0.39,710,personal,0
51376,13,0.71,715,home,0
20186,5,0.88,741,car,1
46704,14,0.66,720,business,0
55356,13,0.43,828,education,0
72168,6,0.67,731,business,0
42225,9,0.82,661,personal,1
37872,14,0.2,706,car,0
42473,28,0.31,659,home,0
63731,9,0.84,632,home,1
54931,21,0.86,577,car,1
42053,16,0.49,641,home,0
57699,26,0.4,712,business,0
51456,18,0.33,593,education,0
64529,28,0.5,679,car,0
39469,16,0.85,626,education,1
45085,11,0.22,653,home,0
44118,14,0.44,649,personal,0
28047,25,0.83,667,education,1
54441,11,0.38,812,personal,0
53915,24,0.71,617,business,1
50076,28,0.41,651,personal,0
46481,8,0.74,639,education,1
28769,4,0.88,549,education,1
43690,3,0.41,714,car,0
44859,11,0.78,595,personal,1
37965,15,0.89,750,business,1
47580,8,0.89,599,car,1
56060,24,0.45,681,car,0
78292,2,0.49,775,business,0
52618,20,0.34,685,car,0
53863,2,0.35,612,business,0
48883,25,0.49,591,home,0
21218,17,0.26,500,car,0
49602,16,0.67,627,education,1
50903,27,0.53,554,home,1
86948,9,0.82,651,car,1
47114,1,0.75,623,business,1
54523,23,0.36,660,home,0
49479,10,0.5,573,home,0
32469,23,0.7,616,education,1
67142,2,0.25,690,car,0
61278,22,0.13,674,car,0
61865,22,0.78,524,business,1
36359,1,0.21,707,home,0
71041,8,0.81,577,education,1
28972,18,0.83,543,business,1
58802,1,0.47,635,business,1
82856,27,0.75,820,education,0
35141,18,0.39,627,car,0
41505,1,0.79,657,education,1
51494,14,0.76,698,car,0
42447,23,0.16,589,personal,0
26740,20,0.57,672,home,0
51028,2,0.61,592,education,1
34065,4,0.1,689,business,0
57103,10,0.88,678,car,1
36208,26,0.43,672,home,0
73249,23,0.51,662,home,0
38251,6,0.26,791,education,0
45169,5,0.59,666,business,0
62202,13,0.75,687,education,0
31537,28,0.57,675,business,0
53411,0,0.73,579,personal,1
69607,25,0.68,596,education,1
25887,16,0.29,574,car,0
52769,16,0.45,595,education,0
53898,13,0.22,614,education,0
61727,9,0.13,635,personal,0
31445,29,0.15,635,personal,0
30193,7,0.85,690,education,1
57829,7,0.89,744,business,1
54454,13,0.18,730,personal,0
53757,6,0.37,669,personal,0
55196,5,0.19,591,business,0
39799,3,0.77,723,home,0
53483,0,0.5,611,personal,1
54396,14,0.6,680,personal,0
39284,24,0.53,669,business,0
77986,14,0.67,575,business,1
57107,0,0.36,613,education,0
32130,19,0.21,685,education,0
59848,2,0.11,639,home,0
35379,22,0.46,850,home,0
61806,4,0.83,618,home,1
67378,4,0.34,579,car,0
37689,3,0.26,655,business,0
64450,16,0.84,627,personal,1
56191,20,0.18,529,business,0
62330,19,0.14,708,business,0
78451,13,0.8,719,home,0
46319,25,0.66,709,business,0
38693,28,0.44,672,car,0
36657,7,0.7,640,personal,1
37762,1,0.69,662,home,1
48843,7,0.13,641,education,0
55117,0,0.64,605,personal,1
54150,28,0.61,757,education,0
62407,3,0.87,738,education,1
50195,18,0.87,696,business,1
71803,4,0.4,620,personal,0
46030,28,0.57,690,car,0
90802,4,0.21,633,business,0
59385,20,0.15,630,education,0
37142,27,0.45,648,personal,0
33936,19,0.65,680,business,0
57237,23,0.55,621,personal,0
46648,18,0.44,640,home,0
60710,11,0.75,742,car,0
57098,19,0.74,532,car,1
48907,0,0.69,721,car,1
37298,6,0.16,640,education,0
27277,16,0.74,617,education,1
43302,1,0.84,628,car,1
62845,10,0.15,650,personal,0
53211,6,0.42,714,home,0
31313,16,0.89,662,education,1
52597,26,0.58,615,business,0
55779,2,0.51,698,business,0
36742,28,0.24,643,education,0
52305,21,0.55,686,car,0
50873,5,0.45,669,personal,0
32855,21,0.2,575,home,0
55366,10,0.47,690,business,0
58411,28,0.23,534,education,0
66245,17,0.68,642,personal,1
65807,17,0.88,579,car,1
29334,21,0.48,511,home,1
35932,9,0.61,667,home,0
57725,4,0.44,708,business,0
57706,29,0.21,647,business,0
57725,22,0.88,739,education,1
107790,22,0.2,650,home,0
58563,20,0.19,662,car,0
67033,23,0.47,591,car,0
64310,25,0.63,690,education,0
59770,21,0.38,687,home,0
45270,14,0.25,620,business,0
61384,20,0.76,560,car,1
38407,19,0.39,545,personal,0
46447,22,0.26,720,education,0
42719,3,0.39,568,car,0
51228,20,0.27,756,personal,0
84719,20,0.52,595,personal,0
21991,0,0.63,629,car,1
60293,14,0.74,848,education,0
25809,16,0.28,617,personal,0
42921,18,0.23,582,personal,0
66334,13,0.12,626,home,0
50964,26,0.28,543,home,0
33833,18,0.12,630,home,0
39270,17,0.38,655,personal,0
60193,27,0.22,719,personal,0
39044,1,0.56,685,education,1
53246,5,0.41,660,business,0
50683,12,0.17,800,home,0
40225,16,0.42,692,business,0
82159,5,0.27,750,home,0
59508,20,0.64,712,home,0
19622,21,0.39,747,education,0
52796,4,0.22,730,education,0
40073,6,0.38,708,car,0
62786,0,0.28,692,home,0
38112,12,0.74,754,home,0
48278,18,0.89,608,home,1
57574,21,0.12,598,education,0
62986,0,0.65,538,home,1
31995,12,0.31,686,car,0
44982,10,0.15,731,personal,0
42875,26,0.11,577,car,0
40200,6,0.8,599,personal,1
76481,19,0.38,750,education,0
56074,2,0.9,698,business,1
31086,25,0.45,695,education,0
63767,24,0.25,679,business,0
81832,0,0.72,635,personal,1
65486,7,0.84,541,business,1
27209,16,0.75,691,personal,0
42736,12,0.7,799,business,0
69003,13,0.37,670,personal,0
39384,4,0.15,569,business,0
56657,25,0.26,635,personal,0
61619,23,0.46,716,car,0
36096,21,0.86,724,home,1
49107,22,0.68,759,car,0
10000,26,0.76,724,education,0
34634,23,0.32,510,business,0
46211,28,0.65,666,personal,0
31283,5,0.79,549,car,1
